process_id,name,domain,owner,itil_category,iso_compliance,cobit_alignment,priority
070,Timeline Management,Project Management,Project Manager,Project Management,false,APO05,2
071,Quality Assurance Planning,QA,QA Lead,QA,false,APO01,2
072,Test Case Development,QA,QA Engineer,QA,false,BAI03,2
073,Test Execution,QA,QA Engineer,QA,false,BAI03,2
074,Bug Tracking,QA,QA Engineer,QA,false,BAI03,2
075,Regression Testing,QA,QA Engineer,QA,false,BAI03,2
076,Smoke Testing,QA,QA Engineer,QA,false,BAI03,3
077,Sanity Testing,QA,QA Engineer,QA,false,BAI03,3
078,Environment Setup,Infrastructure,DevOps Engineer,Infrastructure,false,BAI04,2
079,Environment Configuration,Infrastructure,DevOps Engineer,Infrastructure,false,BAI04,2
080,Network Configuration,Infrastructure,Network Engineer,Infrastructure,false,BAI04,2
081,Security Configuration,Security,Security Engineer,Infrastructure,false,APO13,1
082,SSL Certificate Management,Security,Security Engineer,Infrastructure,false,APO13,2
083,Firewall Configuration,Security,Security Engineer,Infrastructure,false,APO13,1
084,VPN Setup,Infrastructure,Network Engineer,Infrastructure,false,DSS05,2
085,DNS Management,Infrastructure,Network Engineer,Infrastructure,false,BAI04,2
086,Load Balancer Configuration,Infrastructure,Network Engineer,Infrastructure,false,DSS04,2
087,CDN Configuration,Infrastructure,DevOps Engineer,Infrastructure,false,DSS04,2
088,Database Performance Tuning,Infrastructure,Database Engineer,Infrastructure,false,DSS04,2
089,Query Optimization,Development,Database Developer,Development,false,BAI04,2
090,Database Backup,Infrastructure,Database Admin,Infrastructure,false,DSS04,1
091,Database Recovery,Infrastructure,Database Admin,Infrastructure,false,DSS04,1
092,Data Modeling,Development,Data Architect,Development,false,BAI04,2
093,Schema Design,Development,Database Engineer,Development,false,BAI04,2
094,Index Optimization,Infrastructure,Database Engineer,Infrastructure,false,DSS04,2
095,Cloud Migration,Infrastructure,Cloud Architect,Infrastructure,false,BAI04,1
096,Cloud Cost Optimization,Infrastructure,Cloud Engineer,Infrastructure,false,APO06,2
097,Cloud Security,Security,Cloud Security Engineer,Infrastructure,false,APO13,1
098,Serverless Architecture,Development,Cloud Architect,Infrastructure,false,BAI04,2
099,Microservices Architecture,Development,System Architect,Development,false,BAI04,1
100,API Gateway Setup,Infrastructure,API Developer,Infrastructure,false,BAI04,2
101,Service Mesh Configuration,Infrastructure,DevOps Engineer,Infrastructure,false,BAI04,2
102,Container Orchestration,Infrastructure,Kubernetes Admin,Infrastructure,false,BAI04,1
103,Helm Chart Development,Infrastructure,DevOps Engineer,Infrastructure,false,BAI04,2
104,Kubernetes Deployment,Infrastructure,DevOps Engineer,Infrastructure,false,BAI04,1
105,Docker Image Building,Development,DevOps Engineer,Development,false,BAI03,2
106,Image Security Scanning,Security,Security Engineer,Development,false,APO13,1
107,Registry Management,Infrastructure,DevOps Engineer,Infrastructure,false,BAI04,2
108,GitOps Implementation,Infrastructure,DevOps Engineer,Infrastructure,false,BAI03,1
109,Infrastructure as Code,Infrastructure,DevOps Engineer,Infrastructure,false,BAI04,1
110,Terraform Development,Infrastructure,DevOps Engineer,Infrastructure,false,BAI04,1
111,Ansible Playbooks,Infrastructure,DevOps Engineer,Infrastructure,false,BAI04,2
112,Chef Cookbooks,Infrastructure,DevOps Engineer,Infrastructure,false,BAI04,2
113,Puppet Manifests,Infrastructure,DevOps Engineer,Infrastructure,false,BAI04,2
114,Configuration Drift Detection,Infrastructure,DevOps Engineer,Infrastructure,false,DSS01,2
115,Compliance Scanning,Security,Compliance Officer,Security,false,APO12,1
116,Security Audit,Security,Security Auditor,Security,false,APO13,1
117,Penetration Testing,Security,Pentester,Security,false,APO13,1
118,Code Security Review,Security,Security Engineer,Development,false,APO13,1
119,SAST Implementation,Security,Security Engineer,Development,false,APO13,1
120,DAST Implementation,Security,Security Engineer,Development,false,APO13,1
121,SCA Implementation,Security,Security Engineer,Development,false,APO13,1
122,Threat Modeling,Security,Security Architect,Security,false,APO12,1
123,Risk Assessment,Security,Risk Analyst,Security,false,APO12,1
124,Security Training,Security,Security Trainer,Training,false,APO07,2
125,GDPR Compliance,Governance,Privacy Officer,Governance,true,APO01,1
126,SOX Compliance,Governance,Compliance Officer,Governance,true,APO01,1
127,PCI DSS Compliance,Security,Security Officer,Security,true,APO13,1
128,HIPAA Compliance,Governance,Compliance Officer,Governance,true,APO01,1
129,ISO 27001 Implementation,Security,ISMS Manager,Security,true,APO13,1
130,Data Classification,Data Management,Data Governance Officer,Data Management,false,APO02,1
131,Data Loss Prevention,Security,DLP Administrator,Security,false,APO13,1
132,Email Security,Security,Security Engineer,Security,false,APO13,2
133,Endpoint Protection,Security,Security Engineer,Security,false,APO13,1
134,SIEM Implementation,Security,SOC Analyst,Security,false,DSS05,1
135,SOC Operations,Security,SOC Manager,Security,false,DSS05,1
136,Incident Response Planning,Security,Incident Response Manager,Security,false,DSS02,1
137,Forensic Analysis,Security,Digital Forensics Analyst,Security,false,DSS02,1
138,Business Impact Analysis,Governance,BCP Manager,Governance,false,APO12,1
139,Service Catalog Management,ITSM,Service Catalog Manager,ITSM,true,APO09,2
140,IT Asset Management,ITSM,Asset Manager,ITSM,true,BAI09,2
141,Software License Management,ITSM,License Manager,ITSM,false,BAI09,2
142,Vendor Management,Procurement,Vendor Manager,Procurement,false,APO10,2
143,Contract Management,Legal,Contract Manager,Legal,false,APO10,2
144,Budget Planning,Finance,Budget Manager,Finance,false,APO06,2
145,Cost Allocation,Finance,Cost Analyst,Finance,false,APO06,2
146,Chargeback Implementation,Finance,Chargeback Analyst,Finance,false,APO06,2
147,Performance Reporting,Governance,Performance Analyst,Governance,false,MEA01,2
148,Dashboard Development,BI,Dashboard Developer,BI,false,MEA01,2
149,KPI Monitoring,Governance,KPI Analyst,Governance,false,MEA01,2
150,Executive Reporting,Governance,Executive Analyst,Governance,false,MEA01,1
